"iso3","year","median","varnum"
"CUB",2015,129.30246,"01"
"CUB",2018,130.49691,"01"
"CYP",1990,186.88961,"01"
"CYP",1995,125.21719,"01"
"CYP",2000,134.6427,"01"
"CYP",2005,109.04549,"01"
"CYP",2010,98.15087,"01"
"CYP",2015,82.08654,"01"
"CYP",2018,59.37671,"01"
"CZE",1990,72.20729,"01"
"CZE",1995,72.8509,"01"
"CZE",2000,73.28846,"01"
"CZE",2005,73.55389,"01"
"CZE",2010,73.31364,"01"
"CZE",2015,74.04266,"01"
"CZE",2018,74.11211,"01"
"DEU",1990,147.14765,"01"
"DEU",1995,125.57773,"01"
"DEU",2000,148.74237,"01"
"DEU",2005,133.73654,"01"
"DEU",2010,129.82204,"01"
"DEU",2015,139.03392,"01"
"DEU",2018,140.81276,"01"
"DJI",1990,33.76115,"01"
"DJI",1995,34.88454,"01"
"DJI",2000,40.16105,"01"
"DJI",2005,81.15898,"01"
"DJI",2010,93.2317,"01"
"DJI",2015,217.21822,"01"
"DJI",2018,146.19004,"01"
"DMA",1990,94.03299,"01"
"DMA",1995,89.88104,"01"
"DMA",2000,107.2033,"01"
"DMA",2005,101.98765,"01"
"DMA",2010,108.32654,"01"
"DMA",2015,104.64327,"01"
"DMA",2018,106.23795,"01"
"DNK",1990,91.24877,"01"
"DNK",1995,92.97193,"01"
"DNK",2000,91.44025,"01"
"DNK",2005,89.88065,"01"
"DNK",2010,92.16427,"01"
"DNK",2015,90.27067,"01"
"DNK",2018,90.15262,"01"
"DOM",1990,96.61507,"01"
"DOM",1995,95.62202,"01"
"DOM",2000,97.4244,"01"
"DOM",2005,111.15594,"01"
"DOM",2010,135.20749,"01"
"DOM",2015,134.92916,"01"
"DOM",2018,142.83355,"01"
"DZA",1990,62.48077,"01"
"DZA",1995,66.0152,"01"
"DZA",2000,70.20117,"01"
"DZA",2005,77.27861,"01"
"DZA",2010,82.15539,"01"
"DZA",2015,81.34578,"01"
"DZA",2018,79.52963,"01"
"ECU",1990,110.94144,"01"
"ECU",1995,113.19846,"01"
"ECU",2000,167.12088,"01"
"ECU",2005,94.89558,"01"
"ECU",2010,126.07302,"01"
"ECU",2015,37.81474,"01"
"ECU",2018,25.9945,"01"
"EGY",1990,84.87818,"01"
"EGY",1995,87.72865,"01"
"EGY",2000,90.74918,"01"
"EGY",2005,93.33636,"01"
"EGY",2010,94.58656,"01"
"EGY",2015,88.68756,"01"
"EGY",2018,88.42145,"01"
"ERI",1990,54.37944,"01"
"ERI",1995,55.93149,"01"
"ERI",2000,58.20095,"01"
"ERI",2005,60.74428,"01"
"ERI",2010,61.4093,"01"
"ERI",2015,58.9415,"01"
"ERI",2018,57.3424,"01"
"ESP",1990,94.63505,"01"
"ESP",1995,68.94964,"01"
"ESP",2000,87.96339,"01"
"ESP",2005,80.50173,"01"
"ESP",2010,58.624,"01"
"ESP",2015,37.95003,"01"
"ESP",2018,64.32952,"01"
"EST",1990,99.19129,"01"
"EST",1995,102.08519,"01"
"EST",2000,104.02061,"01"
"EST",2005,103.81155,"01"
"EST",2010,103.34062,"01"
"EST",2015,104.93301,"01"
"EST",2018,105.20587,"01"
